1071307,X,Z,Y,ID
0,0,0,0,10007
1,0,1,0,10007
2,0,2,0,10007
3,0,3,0,10007
4,0,4,0,10007
5,0,5,0,10007
6,0,6,0,10007
7,1,0,0,10007
8,1,1,0,10007
9,1,2,0,10007
10,1,3,0,10007
11,1,4,0,10007
12,1,5,0,10007
13,1,6,0,10007
14,2,0,0,10007
15,2,1,0,10007
16,2,2,0,10007
17,2,3,0,10007
18,2,4,0,0
19,2,5,0,10007
20,2,6,0,10007
21,3,0,0,10007
22,3,1,0,10007
23,3,2,0,10007
24,3,3,0,10007
25,3,4,0,10007
26,3,5,0,10007
27,3,6,0,10007
28,4,0,0,10007
29,4,1,0,10007
30,4,2,0,10007
31,4,3,0,10007
32,4,4,0,10007
33,4,5,0,10007
34,4,6,0,10007
35,5,0,0,10007
36,5,1,0,10007
37,5,2,0,10007
38,5,3,0,10007
39,5,4,0,10007
40,5,5,0,10014
41,5,6,0,10007
42,6,0,0,10007
43,6,1,0,10007
44,6,2,0,10007
45,6,3,0,10007
46,6,4,0,10007
47,6,5,0,10007
48,6,6,0,10007
49,0,0,1,0
50,0,1,1,0
51,0,2,1,0
52,0,3,1,10013
53,0,4,1,10013
54,0,5,1,10013
55,0,6,1,10013
56,1,0,1,0
57,1,1,1,10013
58,1,2,1,10013
59,1,3,1,10013
60,1,4,1,10013
61,1,5,1,10013
62,1,6,1,10014
63,2,0,1,0
64,2,1,1,10013
65,2,2,1,10013
66,2,3,1,10013
67,2,4,1,10013
68,2,5,1,10013
69,2,6,1,10013
70,3,0,1,0
71,3,1,1,10014
72,3,2,1,10014
73,3,3,1,10014
74,3,4,1,10013
75,3,5,1,10013
76,3,6,1,10013
77,4,0,1,0
78,4,1,1,10013
79,4,2,1,10014
80,4,3,1,10013
81,4,4,1,10013
82,4,5,1,10013
83,4,6,1,10014
84,5,0,1,0
85,5,1,1,10013
86,5,2,1,10013
87,5,3,1,10013
88,5,4,1,10013
89,5,5,1,10013
90,5,6,1,10013
91,6,0,1,10014
92,6,1,1,0
93,6,2,1,0
94,6,3,1,0
95,6,4,1,10014
96,6,5,1,10014
97,6,6,1,0
98,0,0,2,0
99,0,1,2,0
100,0,2,2,0
101,0,3,2,0
102,0,4,2,0
103,0,5,2,0
104,0,6,2,0
105,1,0,2,0
106,1,1,2,0
107,1,2,2,0
108,1,3,2,0
109,1,4,2,0
110,1,5,2,0
111,1,6,2,10006
112,2,0,2,0
113,2,1,2,0
114,2,2,2,0
115,2,3,2,0
116,2,4,2,0
117,2,5,2,0
118,2,6,2,0
119,3,0,2,0
120,3,1,2,0
121,3,2,2,0
122,3,3,2,0
123,3,4,2,0
124,3,5,2,0
125,3,6,2,0
126,4,0,2,0
127,4,1,2,10014
128,4,2,2,0
129,4,3,2,0
130,4,4,2,0
131,4,5,2,0
132,4,6,2,10010
133,5,0,2,0
134,5,1,2,10001
135,5,2,2,0
136,5,3,2,0
137,5,4,2,0
138,5,5,2,0
139,5,6,2,10011
140,6,0,2,0
141,6,1,2,0
142,6,2,2,0
143,6,3,2,0
144,6,4,2,0
145,6,5,2,10010
146,6,6,2,0
147,0,0,3,10013
148,0,1,3,10013
149,0,2,3,10013
150,0,3,3,10013
151,0,4,3,10013
152,0,5,3,10013
153,0,6,3,10013
154,1,0,3,10013
155,1,1,3,10013
156,1,2,3,10013
157,1,3,3,10013
158,1,4,3,10013
159,1,5,3,10013
160,1,6,3,10013
161,2,0,3,10013
162,2,1,3,10013
163,2,2,3,10013
164,2,3,3,10013
165,2,4,3,10013
166,2,5,3,10013
167,2,6,3,10013
168,3,0,3,10013
169,3,1,3,10013
170,3,2,3,10013
171,3,3,3,10013
172,3,4,3,10013
173,3,5,3,10013
174,3,6,3,10013
175,4,0,3,10013
176,4,1,3,0
177,4,2,3,10013
178,4,3,3,10013
179,4,4,3,10013
180,4,5,3,10013
181,4,6,3,0
