1070707,X,Z,Y,ID
0,0,0,0,10010
1,0,1,0,10002
2,0,2,0,10002
3,0,3,0,10002
4,0,4,0,10002
5,0,5,0,0
6,0,6,0,10001
7,1,0,0,10002
8,1,1,0,10002
9,1,2,0,10002
10,1,3,0,10002
11,1,4,0,10002
12,1,5,0,10001
13,1,6,0,10001
14,2,0,0,10002
15,2,1,0,10002
16,2,2,0,10002
17,2,3,0,10002
18,2,4,0,10002
19,2,5,0,10001
20,2,6,0,10001
21,3,0,0,10002
22,3,1,0,10002
23,3,2,0,10002
24,3,3,0,10002
25,3,4,0,10002
26,3,5,0,10001
27,3,6,0,10001
28,4,0,0,10002
29,4,1,0,10002
30,4,2,0,10002
31,4,3,0,10002
32,4,4,0,10002
33,4,5,0,10001
34,4,6,0,10001
35,5,0,0,10001
36,5,1,0,10001
37,5,2,0,10001
38,5,3,0,10001
39,5,4,0,10001
40,5,5,0,10001
41,5,6,0,10001
42,6,0,0,10001
43,6,1,0,10001
44,6,2,0,10001
45,6,3,0,10001
46,6,4,0,10001
47,6,5,0,10001
48,6,6,0,10001
49,0,0,1,0
50,0,1,1,10003
51,0,2,1,10003
52,0,3,1,0
53,0,4,1,10006
54,0,5,1,0
55,0,6,1,10001
56,1,0,1,10003
57,1,1,1,10003
58,1,2,1,10003
59,1,3,1,0
60,1,4,1,0
61,1,5,1,10001
62,1,6,1,10001
63,2,0,1,10003
64,2,1,1,10003
65,2,2,1,10003
66,2,3,1,0
67,2,4,1,0
68,2,5,1,10001
69,2,6,1,10001
70,3,0,1,0
71,3,1,1,0
72,3,2,1,0
73,3,3,1,0
74,3,4,1,0
75,3,5,1,10001
76,3,6,1,10001
77,4,0,1,0
78,4,1,1,0
79,4,2,1,0
80,4,3,1,0
81,4,4,1,0
82,4,5,1,10001
83,4,6,1,10001
84,5,0,1,10001
85,5,1,1,10001
86,5,2,1,10001
87,5,3,1,10001
88,5,4,1,10001
89,5,5,1,10001
90,5,6,1,10001
91,6,0,1,10001
92,6,1,1,10001
93,6,2,1,10001
94,6,3,1,10001
95,6,4,1,10001
96,6,5,1,10001
97,6,6,1,10001
98,0,0,2,0
99,0,1,2,10011
100,0,2,2,0
101,0,3,2,0
102,0,4,2,0
103,0,5,2,0
104,0,6,2,10001
105,1,0,2,10011
106,1,1,2,10011
107,1,2,2,0
108,1,3,2,0
109,1,4,2,0
110,1,5,2,10001
111,1,6,2,10001
